text,sentiment
It is an almost ideal romantic anime! MUST SEE FOR ALL AGES! But the English dubbed version is not too good. Perhaps the 1999 version will be better.,pos
"Come on. The new twist is nearly ok, but from avenging the Elm Street children Freddy is just killing people now. More of the same: Special effects with no actual character development or anything. Simply bad and insulting. SCARY..? Nope. Not at all. Just bad.",neg
"It was clear right from the beginning that 9/11 would inspire about as many films as World War II and Vietnam combined; however, there is certainly a big danger that most of these films to come are about as good (or rather: bad) as Pearl Harbor. It is a great luck that the first international release about 9/11 is not a cheesy love story starring a bunch of pretty faces, but a collective work of 11 directors from the entire world.<br /><br />I'm not intending to say that all 11 episodes are great (Youssef Chahine's, for example, has a needless prologue with too many cuts and Shohei Imamura's has a really bizarre ending) or that the segments are in the right order (Imamura's, being the only one not referring directly to the Twin Towers, should open the film, not end it, Alejandro Gonzales Inarritu's should be the last one instead, as it's the most impressive one). But it is an impressing effort and an interesting portrayal of the way other parts of the world react to the collapse of the twin towers.<br /><br />Consider Samira Makhmalbaf's opening segment, in which an Afghan teachers tries to explain to her pupils what happened in New York and unsuccessfully suggests a one-minute silence. Or Idrissa Ouedraogo's part (which features a bin Laden-double so much resembling the real one that you'll be shocked when you see him, I promise), in which 5 boys muse about good things that can be done with the reward put out on Laden.<br /><br />There's a surprisingly good (and extremely angry) segment by Ken Loach about a man from Chile talking about what he calls ""our Tuesday September 11"" - that September 11 in 1973 when their elected president Allende was killed and Pinochet installed his dictatorship - with the generous help from Henry Kissinger and the CIA. This could have become a terrible effort in Anti-Americanism, but it did become a sad tale and shares my recognition for the best segment with Inarritu's (mainly sound impressions and phone calls from the hijacked planes to a black screen, sometimes a few pictures of people falling down the WTC and finally a collapsing tower, ending with the screen brightening up and one question appearing) and Amos Gitai's about a hysterical reporter trying desperatly to get on air after a car bomb exploded in Tel Aviv (hard to recognize, but this one is a masterpiece of choreography).<br /><br />All these different segments (I haven't mentioned yet Claude Lelouch's about a deaf girl, Danis Tanovic's about a demonstration of the Women of Srebrenica, Mira Nair's - strange, but it takes an Indian director to make the part that is probably most appealing to Western tastes - about a Muslim family whose son is under a terrible suspicion after 9/11 and Sean Penn's with Ernest Borgnine (yes, Ernest Borgnine) as a widower leading the most depressive life one can imagine) add up to a unique film not easy to watch and hard to forget. I am sure this film will be a classic known to everyone thirty years from now. I hope it will be remembered for starting a long tradition of world cinema movies. But, alas, it's far more probable it will be remembered as a one-film-only effort. And as the one of the few 9/11 movies made by then that don't reduce this terrible event to a love story with a happy end just to please the audience.",pos
"I remember watching this as a child in the UK, mesmerized by the story and Laurence Olivier's narration. We would talk about nothing else at school the next day. I imagine the ratings for the first showing were huge. This is quite simply the best most comprehensive documentary series despite the fact they had to cut the story down to the bone they managed to capture so much. What is interesting is that the battles of Britain and North Africa were pivotal yet are widely unrecognized as such by Americans. The series captures the rivalry between Mountbatten and the American generals, the suffering of German troops on the Eastern front, the maltreatment of Japanese prisoners of war by American troops. The images of the holocaust made me, a non-Jewish European, feel forever guilty about the treatment of the Jewish people. I don't know why this is not number one in the IMDb rankings. Perhaps they are showing their bias against documentaries. Spoiler - we win.",pos
"One of the serious potential environmental costs of most mining operations is pollution of downstream streams, rivers and lakes with excess sediments and toxins. One of the most serious examples in 19th century USA of excess river sedimentation was caused by hydraulic mining of gold-bearing gravely hills on the sides of the Sacramento Valley in the period from the 1850s to the early 1880s. This process involved directing a high pressure jet of water onto the hillside, causing the material to wash downhill, where the gold could be separated from the gravel and sediment. The sediment then collected in a ditch or stream and most found its way to the Sacramento River or its tributaries. The sediment that stayed in the river bed increased the likelihood of floods in the downstream agricultural fields and towns and created permanent marshes in some areas. Some of the sediment spilled over onto the agricultural fields, where it might cover a standing crop or cover more desirable soil or make plowing difficult. Thus, the conflicting interests of the companies that used hydraulic mining and of the downstream farmers adversely affected by these operations is the subject of this nearly forgotten 1938 color film by Warner.<br /><br />First, we might ask why Warner decided to shoot this film in a rather poor Technicolor, a very rare treatment in 1938. A story about wheat farmers and gold miners wouldn't seem to justify the expense and difficulties of color filming at this time. The answer seems to be the inordinate film time spent indoors, with fancy colorful clothes and ornamentations. Then, we might ask why colorless George Brent was chosen as the leading man and ultimate hero, to be paired with Olivia de Havilland. Among other things, this film really needed a charismatic leading man to carry it. Even the usually colorful Gabby Hayes, in his small role, seemed unusually subdued. Unfortunately, I fell asleep before the apparently more dramatic last part of the film. The portion I saw spent too much time establishing a complicated set of relationships between too many people at the expense of graphically portraying the plight of the chosen wheat baron and perhaps nearby town folk and their attempts to deal with their flood and sedimentation problems. It needed to be more like ""The Good Earth"", released just the year before. Just maybe it would then have been suitable for a charismatic leading man, such as Errol Flynn. Finally, there is the matter of the inane title. Surely, Warner could have come up with a catchy or more appropriate title. ""Gold or Grain"" is short and to the point. Incidentally, I understand there is still plenty of gold in 'them thar hills', waiting to be extracted by means other than hydraulic mining.",neg
"This movie has always been a favorite of mine since first seeing it as a 12 year old kid in 1962 when it was shown on a Los Angeles television station's ""late show"". The characters are very engaging from the start of the picture, and it is too bad that the movie has never been released for video tape, nor is it ever shown on television (apparently due to a prohibition by the Estate of Moss Hart, the playwright/producer/director who wrote the story and first presented it on the New York stage during WWII -- the reason for denying its showing is hard to fathom more than 50 years after it was made). I did not see the movie again for over 30 years, when someone who had actually been a major cast member of the movie was able to get me a ""bootlegged"" copy on VHS (poor video quality, but good audio). My memory of it was correct: it was still an engaging and fascinating movie to watch. An amazing aspect of this film is just how many of its stars, just starting out in their careers at the time 1944), went on to became either major motion picture stars or at least well-known and fully-employed actors (e.g. Judy Holliday, Edmond O'Brien, Jeanne Crain, Barry Nelson, Don Taylor, Karl Malden, Peter Lind Hayes, George ""Superman"") Reeves, Red Buttons, Lee J. Cobb, Kevin McCarthy, and Gary Merrill). The scenes with the B-24 Liberators are terrific, especially the close-up shots where the details of the giant (for those times) 4-engine bomber (then 18,000+ manufactured, now nearly extinct) can be seen. Good insight into the different levels of training that a pilot-cadet went through on his way to being assigned to a bomber crew (of course, VERY gender-biased as was the trend of the day: only the MEN became pilots, the women just supported them in their roles -- hardly acceptable in today's world). I hope someday it will be released onto video for a new generation to enjoy.",pos
"I am glad other people enjoyed this movie, cause I know it doesn't have the greatest reputation and it made no money at the box office. I thought it was terrific and there are several reasons why - Bogdanovich directs with the lightest of touches, the cast (especially Coleen Camp) is perfect and the Big Bad Apple never looked better on film. You've seen worse movies!",pos
"... but watch Mary McDonnell's performance closely. Her body language. Her fine body movements. Her subtle, but powerfully effective, reactions. This is an accomplished artist at the top of her craft. And the rest of the cast were pretty damned good, too! ;o)<br /><br />This is perhaps the 3rd or 4th viewing for me, and I see more in it each time. What /IS/ this world coming to, anyway? -R.",pos
"The person's comment that said that Pat Robertson is evil and his program is evil has nothing to compare what evil and righteous is. His definition of evil is the opposite of evil. The Bible itself says that in the last days people will call good evil and evil good! He doesn't even know that he fulfilled Bible prophecy! If you don't know God and refuse to know him now, that's okay. He still loves you but when you do finally bow your knee to Him, and you will, it will be too late for you. God sends no one to hell, not even you! You will go there of your own decision and your spewing defines it! May God have mercy on you and give you a Damascus Road experience. The 700 Club and Pat Robertson's ministry is one of the reasons I'm still here. On the edge of alcoholism, adultery, and probably death, God reached through the TV screen and used Pat Robertson to do it, and thank God He did! You have a right to say what you said but you don't have a right to curse with your words. God have mercy on you.",pos
"There isn't much to say about this film, it is horrible.<br /><br />The acting and dialog are way far away from even decent, the story of the hybrid werewolf's is not very well explained and the whole thing has plot holes here and there.<br /><br />CGI is something you wouldn't like to see. It so amateurish that it makes me vomit.<br /><br />The only good thing on the DVD was in the Extras. The gag reel. Everything else, just waste of time and money. I hope noone will buy this, this is not even worth renting.<br /><br />Just stay away of this.",neg
